"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 05, 2016","97.03","96.56","97.27","96.32","0","0.58"
"Feb 04, 2016","96.47","97.29","97.47","96.26","0","-0.84"
"Feb 03, 2016","97.29","98.83","98.94","96.89","0","-1.60"
"Feb 02, 2016","98.87","98.99","99.09","98.75","0","-0.14"
"Feb 01, 2016","99.01","99.55","99.63","98.93","0","-0.60"
"Jan 29, 2016","99.61","98.65","99.83","98.58","0","1.12"
"Jan 28, 2016","98.51","98.88","99.11","98.42","0","-0.39"
"Jan 27, 2016","98.90","99.02","99.16","98.71","0","3.98"
"Jan 26, 2016","95.11","99.30","99.45","95.11","0","-4.28"
"Jan 25, 2016","99.36","99.52","99.55","99.23","0","-0.21"
"Jan 22, 2016","99.57","99.18","99.59","99.11","0","0.51"
"Jan 21, 2016","99.06","99.19","99.80","98.91","0","-0.03"
"Jan 20, 2016","99.09","99.02","99.19","98.63","0","0.10"
"Jan 19, 2016","98.99","99.12","99.31","98.86","0","0.03"
"Jan 18, 2016","98.96","98.80","99.20","98.80","0","0.00"
"Jan 15, 2016","98.96","99.10","99.12","98.38","0","-0.13"
"Jan 14, 2016","99.09","98.82","99.26","98.59","0","0.16"
"Jan 13, 2016","98.93","99.03","99.33","98.86","0","-0.04"
"Jan 12, 2016","98.97","98.80","99.28","98.57","0","0.25"
"Jan 11, 2016","98.72","98.41","98.89","98.25","0","0.18"
"Jan 08, 2016","98.54","98.30","99.18","98.27","0","0.33"
"Jan 07, 2016","98.22","99.21","99.30","98.17","0","-0.97"
"Jan 06, 2016","99.18","99.39","99.58","99.11","0","-0.22"
"Jan 05, 2016","99.40","98.87","99.63","98.75","0","0.54"
"Jan 04, 2016","98.87","98.59","99.18","98.05","0","0.24"
"Jan 01, 2016","98.63","98.69","98.69","98.63","0","0.00"
"Dec 31, 2015","98.63","98.22","98.78","98.18","0","0.37"
"Dec 30, 2015","98.27","98.21","98.41","98.11","0","0.17"
"Dec 29, 2015","98.10","97.90","98.41","97.80","0","0.18"
"Dec 28, 2015","97.92","97.95","98.03","97.81","0","-0.06"
"Dec 25, 2015","97.98","97.87","98.02","97.83","0","0.00"
"Dec 24, 2015","97.98","98.33","98.38","97.86","0","-0.37"
"Dec 23, 2015","98.34","98.21","98.60","98.19","0","0.11"
"Dec 22, 2015","98.23","98.46","98.51","98.00","0","-0.13"
"Dec 21, 2015","98.36","98.68","98.84","98.29","0","-0.34"
"Dec 18, 2015","98.70","99.02","99.18","98.64","0","-0.57"
"Dec 17, 2015","99.27","98.56","99.29","98.53","0","1.43"
"Dec 16, 2015","97.87","98.19","98.60","97.66","0","-0.36"
"Dec 15, 2015","98.22","97.64","98.29","97.19","0","0.64"
"Dec 14, 2015","97.60","97.61","97.93","97.28","0","0.04"
"Dec 11, 2015","97.56","97.98","98.09","97.33","0","-0.39"
"Dec 10, 2015","97.94","97.41","97.99","97.36","0","0.62"
"Dec 09, 2015","97.34","98.45","98.52","97.22","0","-1.15"
"Dec 08, 2015","98.47","98.73","98.76","98.33","0","-0.19"
"Dec 07, 2015","98.66","98.38","98.90","98.30","0","0.32"
"Dec 04, 2015","98.35","97.83","98.61","97.75","0","0.75"
"Dec 03, 2015","97.62","100.01","100.47","97.59","0","-2.37"
"Dec 02, 2015","99.99","99.83","100.51","99.80","0","0.19"
"Dec 01, 2015","99.80","100.23","100.26","99.72","0","-0.37"
"Nov 30, 2015","100.17","100.08","100.31","100.05","0","0.15"
"Nov 27, 2015","100.02","99.86","100.20","99.66","0","0.22"
"Nov 26, 2015","99.80","99.74","99.91","99.71","0","0.00"
"Nov 25, 2015","99.80","99.56","100.17","99.31","0","0.27"
"Nov 24, 2015","99.53","99.68","99.78","99.47","0","-0.27"
"Nov 23, 2015","99.80","99.66","100.00","99.53","0","0.24"
"Nov 20, 2015","99.56","99.09","99.65","99.00","0","0.58"
"Nov 19, 2015","98.99","99.41","99.48","98.73","0","-0.66"
"Nov 18, 2015","99.65","99.65","99.85","99.31","0","0.02"
"Nov 17, 2015","99.63","99.40","99.75","99.36","0","0.19"
"Nov 16, 2015","99.44","99.00","99.46","98.87","0","0.44"
"Nov 13, 2015","99.00","98.57","99.21","98.53","0","0.35"
"Nov 12, 2015","98.65","98.82","99.29","98.43","0","-0.36"
"Nov 11, 2015","99.01","99.10","99.24","98.78","0","-0.28"
"Nov 10, 2015","99.29","99.01","99.50","98.94","0","0.31"
"Nov 09, 2015","98.98","99.27","99.27","98.82","0","-0.19"
"Nov 06, 2015","99.17","97.95","99.34","97.89","0","1.26"
"Nov 05, 2015","97.94","97.94","98.14","97.75","0","-0.01"
"Nov 04, 2015","97.95","97.20","98.05","97.17","0","0.81"
"Nov 03, 2015","97.16","96.90","97.48","96.77","0","0.24"
"Nov 02, 2015","96.93","96.69","96.97","96.64","0","-0.02"
"Oct 30, 2015","96.95","97.19","97.35","96.58","0","-0.34"
"Oct 29, 2015","97.28","97.61","97.69","97.19","0","-0.51"
