"Date","Price","Open","High","Low","Vol.","Change"
"Aug 01, 2017","51195.01","51282.19","51432.77","51141.27","649.07M","0.36"
"Jul 31, 2017","51011.87","51219.58","51335.99","50926.13","220.35M","-0.39"
"Jul 28, 2017","51213.60","51228.42","51320.51","50895.54","171.08M","-0.09"
"Jul 27, 2017","51257.36","51545.92","51660.78","51172.84","158.69M","-0.66"
"Jul 26, 2017","51600.26","51537.30","51765.94","51476.45","198.20M","-0.22"
"Jul 25, 2017","51713.38","51590.48","51772.37","51524.23","148.40M","0.09"
"Jul 24, 2017","51665.65","51526.39","51743.62","51205.54","128.87M","0.20"
"Jul 21, 2017","51564.62","51180.04","51641.38","51165.61","153.69M","0.82"
"Jul 20, 2017","51144.14","51163.21","51264.51","51082.68","103.58M","0.11"
"Jul 19, 2017","51086.93","51172.91","51363.99","50890.25","173.05M","-0.03"
"Jul 18, 2017","51099.71","51228.36","51230.70","50990.67","156.04M","-0.45"
"Jul 17, 2017","51332.29","51141.63","51364.19","50950.62","137.17M","0.33"
"Jul 14, 2017","51162.23","50966.87","51298.10","50824.13","156.84M","0.38"
"Jul 13, 2017","50968.76","50820.85","51014.14","50704.20","258.96M","0.31"
"Jul 12, 2017","50809.77","50847.95","51103.85","50440.70","314.86M","0.59"
"Jul 11, 2017","50510.23","50545.51","50869.10","50344.78","242.79M","-0.21"
"Jul 10, 2017","50616.81","50058.70","50661.75","49975.73","247.90M","1.11"
"Jul 07, 2017","50059.02","50042.53","50141.18","49696.97","151.50M","0.09"
"Jul 06, 2017","50015.67","50268.95","50274.91","49884.18","178.01M","-0.57"
"Jul 05, 2017","50300.81","50065.52","50339.63","50022.15","149.65M","0.52"
"Jul 04, 2017","50041.58","49999.07","50236.44","49925.31","36.06M","-0.13"
"Jul 03, 2017","50109.16","49831.53","50312.02","49790.53","79.97M","0.50"
"Jun 30, 2017","49857.49","49255.08","49901.51","49204.76","160.43M","1.34"
"Jun 29, 2017","49198.12","49380.50","49428.55","49001.78","124.12M","-0.29"
"Jun 28, 2017","49340.11","49129.56","49391.38","49067.78","141.96M","0.51"
"Jun 27, 2017","49087.74","49179.01","49207.87","48944.09","149.86M","-0.16"
"Jun 26, 2017","49165.67","48806.04","49267.68","48770.98","135.73M","0.38"
"Jun 23, 2017","48980.78","48938.38","49139.06","48873.85","148.04M","-0.07"
"Jun 22, 2017","49017.43","48933.08","49053.00","48827.56","106.90M","0.07"
"Jun 21, 2017","48983.45","48958.71","49203.64","48895.36","171.78M","-0.10"
"Jun 20, 2017","49033.05","49209.62","49226.76","48937.66","147.57M","-0.28"
"Jun 19, 2017","49169.57","49231.61","49473.67","48935.15","197.81M","-0.10"
"Jun 16, 2017","49221.03","49134.10","49348.77","48870.10","612.36M","0.17"
"Jun 15, 2017","49139.70","49233.21","49233.85","48861.25","137.20M","-0.31"
"Jun 14, 2017","49291.03","49121.20","49378.69","49022.54","169.95M","0.54"
"Jun 13, 2017","49026.83","49183.47","49203.36","48978.17","135.84M","-0.21"
"Jun 12, 2017","49128.76","49073.66","49241.30","48952.75","137.32M","0.10"
"Jun 09, 2017","49081.73","49046.86","49277.32","48993.26","156.51M","-0.01"
"Jun 08, 2017","49087.46","49302.66","49327.41","49018.96","148.78M","-0.38"
"Jun 07, 2017","49274.97","49194.22","49352.78","49030.24","169.61M","0.11"
"Jun 06, 2017","49218.62","49566.33","49566.33","49177.54","140.94M","-0.75"
"Jun 05, 2017","49592.49","49244.27","49627.76","49120.67","131.65M","0.56"
"Jun 02, 2017","49317.38","49100.82","49323.72","48979.59","128.67M","0.44"
"Jun 01, 2017","49101.64","48795.89","49224.46","48774.91","158.60M","0.64"
"May 31, 2017","48788.44","49275.63","49423.41","48749.96","336.95M","-0.99"
"May 30, 2017","49277.95","49452.20","49634.11","49089.09","103.29M","-0.35"
"May 29, 2017","49450.48","49676.03","49701.28","49332.55","30.74M","-0.48"
"May 26, 2017","49688.27","49411.73","49741.81","49195.27","140.81M","0.56"
"May 25, 2017","49410.92","49502.26","49696.99","49319.91","136.32M","-0.17"
"May 24, 2017","49494.40","49045.14","49581.99","49045.14","158.36M","0.92"
"May 23, 2017","49042.52","48945.98","49119.90","48771.77","146.38M","0.20"
"May 22, 2017","48943.46","49056.73","49415.89","48793.24","165.74M","-0.25"
"May 19, 2017","49067.47","48322.24","49172.65","48274.62","207.22M","1.54"
"May 18, 2017","48322.24","48759.26","48759.26","48146.00","188.15M","-0.87"
"May 17, 2017","48747.95","49457.90","49460.97","48731.54","217.47M","-1.44"
