Id,Text,Date,Open,Market_change
900229323801735168,"Not only does the media give a platform to hate groups, but the media turns a blind eye to the gang violence on our streets! ",2017-08-23,51276.14,-0.1
900521251768213505,"Donald E. Ballard, on behalf of the people of the United States, THANK YOU for your courageous service. YOU INSPIRE US ALL! #ALConv2017 ",2017-08-24,51205.24,0.37
900694112940290049,I requested that Mitch M and Paul R tie the Debt Ceiling legislation into the popular V.A. Bill (which just passed) for easy approval. They didn't do it so now we have a big deal with Dems holding them up (as usual) on Debt Ceiling approval. Could have been so easy-now a mess!,2017-08-24,51205.24,0.37
900714982823821313,"The only problem I have with Mitch McConnell is that, after hearing Repeal and Replace for 7 years, he failed!That should NEVER have happened!",2017-08-24,51205.24,0.37
900768072503623680,"On Tuesday, I visited with the incredible men and women of @ICEgov and @DHSgov Border Patrol in Yuma, AZ. Thank you. We respect and cherish you! ",2017-08-24,51205.24,0.37
901029770401546243,"If Senate Republicans don't get rid of the Filibuster Rule and go to a 51% majority, few bills will be passed. 8 Dems control the Senate!",2017-08-25,51521.18,-0.19
901032475111116800,"Few, if any, Administrations have done more in just 7 months than the Trump A. Bills passed, regulations killed, border, military, ISIS, SC!",2017-08-25,51521.18,-0.19
901259509632573440,"At the request of the Governor of Texas, I have signed the Disaster Proclamation, which unleashes the full force of government help!",2017-08-28,51429.62,-0.21
901205593054162945,Storm turned Hurricane is getting much bigger and more powerful than projected. Federal Government is on site and ready to respond. Be safe!,2017-08-28,51429.62,-0.21
901263061511794688,I am pleased to inform you that I have just granted a full Pardon to 85 year old American patriot Sheriff Joe Arpaio. He kept Arizona safe!,2017-08-28,51429.62,-0.21
901777333513854976,Great coordination between agencies at all levels of government. Continuing rains and flash floods are being dealt with. Thousands rescued.,2017-08-28,51429.62,-0.21
901795255086968833,"I will also be going to a wonderful state, Missouri, that I won by a lot in '16. Dem C.M. is opposed to big tax cuts. Republican will win S!",2017-08-28,51429.62,-0.21
901942677461229569,"HISTORIC rainfall in Houston, and all over Texas. Floods are unprecedented, and more rain coming. Spirit of the people is incredible.Thanks!",2017-08-28,51429.62,-0.21
902507855584092160,.@foxandfriends We are not looking to fill all of those positions. Don't need many of them - reduce size of government. @IngrahamAngle,2017-08-29,51200.62,0.09
902889225061896196,Will be leaving for Missouri soon for a speech on tax cuts and tax reform - so badly needed!,2017-08-30,51312.9,-0.23
902978901223366656,"Texas and Louisiana: We are w/ you today, we are w/ you tomorrow, and we will be w/ you EVERY SINGLE DAY AFTER, to restore, recover, and REBUILD! ",2017-08-30,51312.9,-0.23
902881712010653697,"After witnessing first hand the horror and devastation caused by Hurricane Harvey,my heart goes out even more so to the great people of Texas!",2017-08-30,51312.9,-0.23
902875515534626817,"The U.S. has been talking to North Korea, and paying them extortion money, for 25 years. Talking is not the answer!",2017-08-30,51312.9,-0.23
903348312421670912,THANK YOU to all of the incredible HEROES in Texas. America is with you! #TexasStrong ,2017-08-31,51155.59,0.03
903587428488839170,"Wow, looks like James Comey exonerated Hillary Clinton long before the investigation was over...and so much more. A rigged system!",2017-09-01,51271.32,-0.25
903603043714957312,Texas is healing fast thanks to all of the great men and women who have been working so hard. But still so much to do. Will be back tomorrow!,2017-09-01,51271.32,-0.25
904025340049285121,"TEXAS: We are with you today, we are with you tomorrow, and we will be with you EVERY SINGLE DAY AFTER, to restore, recover, and REBUILD! ",2017-09-04,51015.91,-0.5
903770196388831233,I will be going to Texas and Louisiana tomorrow with First Lady. Great progress being made! Spending weekend working at White House.,2017-09-04,51015.91,-0.5
903778130850131970,"On behalf of @FLOTUS Melania and myself, THANK YOU for today's update and GREAT WORK! #SouthernBaptist @SendRelief, @RedCross and @SalvationArmyUS ",2017-09-04,51015.91,-0.5
