"Date","Price","Open","High","Low","Vol.","Change"
"Sep 19, 2017","95.35","95.09","95.44","95.08","0","0.28"
"Sep 18, 2017","95.09","94.84","95.10","94.71","0","0.26"
"Sep 17, 2017","94.84","94.75","94.90","94.73","0","0.03"
"Sep 15, 2017","94.82","94.71","95.08","94.63","0","0.11"
"Sep 14, 2017","94.71","94.73","94.87","94.39","0","-0.01"
"Sep 13, 2017","94.73","95.19","95.31","94.67","0","-0.49"
"Sep 12, 2017","95.19","95.10","95.23","94.82","0","0.10"
"Sep 11, 2017","95.10","95.25","95.39","95.04","0","-0.17"
"Sep 10, 2017","95.26","95.28","95.35","95.23","0","-0.06"
"Sep 08, 2017","95.32","95.41","95.79","95.23","0","-0.10"
"Sep 07, 2017","95.42","94.86","95.67","94.78","0","0.59"
"Sep 06, 2017","94.86","94.75","94.95","94.64","0","0.12"
"Sep 05, 2017","94.75","94.81","94.91","94.58","0","-0.06"
"Sep 04, 2017","94.81","94.69","94.96","94.66","0","0.13"
"Sep 03, 2017","94.68","94.69","94.71","94.62","0","0.07"
"Sep 01, 2017","94.62","94.92","95.30","94.58","0","-0.32"
"Aug 31, 2017","94.92","94.91","95.04","94.52","0","0.03"
"Aug 30, 2017","94.90","95.35","95.43","94.80","0","-0.48"
"Aug 29, 2017","95.35","95.19","95.82","95.18","0","0.18"
"Aug 28, 2017","95.18","95.15","95.37","94.91","0","0.04"
"Aug 27, 2017","95.15","95.05","95.19","94.99","0","0.17"
"Aug 25, 2017","94.98","94.22","95.06","94.08","0","0.80"
"Aug 24, 2017","94.23","94.29","94.34","94.09","0","-0.07"
"Aug 23, 2017","94.29","94.02","94.39","93.85","0","0.29"
"Aug 22, 2017","94.02","94.21","94.33","93.84","0","-0.20"
"Aug 21, 2017","94.21","93.88","94.29","93.68","0","0.34"
"Aug 20, 2017","93.89","93.92","93.95","93.85","0","0.00"
"Aug 18, 2017","93.90","93.62","93.95","93.57","0","0.30"
"Aug 17, 2017","93.62","94.06","94.12","93.33","0","-0.47"
"Aug 16, 2017","94.06","93.93","94.12","93.58","0","0.13"
"Aug 15, 2017","93.93","94.08","94.23","93.63","0","-0.16"
"Aug 14, 2017","94.08","94.31","94.41","94.00","0","-0.23"
"Aug 13, 2017","94.30","94.31","94.32","94.25","0","0.05"
"Aug 11, 2017","94.26","93.90","94.40","93.76","0","0.39"
"Aug 10, 2017","93.90","93.95","94.01","93.50","0","-0.05"
"Aug 09, 2017","93.94","93.95","93.99","93.43","0","-0.01"
"Aug 08, 2017","93.95","94.32","94.45","93.79","0","-0.39"
"Aug 07, 2017","94.32","94.14","94.40","94.13","0","0.19"
"Aug 06, 2017","94.14","94.02","94.24","94.02","0","0.08"
"Aug 04, 2017","94.07","94.66","94.72","93.81","0","-0.63"
"Aug 03, 2017","94.66","94.47","94.74","94.30","0","0.21"
"Aug 02, 2017","94.46","94.11","94.76","94.03","0","0.38"
"Aug 01, 2017","94.11","94.15","94.22","93.89","0","-0.06"
"Jul 31, 2017","94.16","93.68","94.31","93.54","0","0.51"
"Jul 30, 2017","93.68","93.69","93.79","93.67","0","-0.05"
"Jul 28, 2017","93.73","93.42","93.86","93.31","0","0.35"
"Jul 27, 2017","93.41","93.61","93.85","93.22","0","-0.22"
